depth,feature,AME
15,14,0.27242634434608332
16,14,0.27240415513471145
17,14,0.27240799496710671
18,14,0.27240659447360893
19,14,0.27241571331105519
20,14,0.27240616914310045
21,14,0.27240999557634582
22,14,0.27240653577840046
23,14,0.27241182594650548
24,14,0.27240723091475649
15,16,0.27242279114587553
16,16,0.27241045183108059
17,16,0.27240408507002711
18,16,0.27240723972712616
19,16,0.27240516497578382
20,16,0.27240960532716629
21,16,0.27240753293813408
22,16,0.27240550353750287
23,16,0.2724050182394645
24,16,0.27241054775627449
15,18,0.27241107834448408
16,18,0.27240866762216281
17,18,0.27240860486633495
18,18,0.27240775911760123
19,18,0.27240875172581114
20,18,0.27241071582346521
21,18,0.27240749929375441
22,18,0.2724109951292143
23,18,0.27241123589434968
24,18,0.27241360515470869
15,20,0.272420710616053
16,20,0.27241015932091145
17,20,0.27240493181148995
18,20,0.27241031632111462
19,20,0.27241173942015295
20,20,0.27240797069176498
21,20,0.27240894262794729
22,20,0.27240705987297642
23,20,0.27240910923255912
24,20,0.27240987857264209
15,22,0.2724212968569707
16,22,0.27240964327263334
17,22,0.27240887926490026
18,22,0.27240804647468952
19,22,0.27240956780399428
20,22,0.27240837688624009
21,22,0.2724069295721307
22,22,0.27240327054082492
23,22,0.27241091639008419
24,22,0.27241131503599963
15,24,0.27241934813100582
16,24,0.27240935571000346
17,24,0.2724084565248498
18,24,0.27240801139964999
19,24,0.27241315254747211
20,24,0.27240687170718536
21,24,0.27241350484410937
22,24,0.27240937283206546
23,24,0.272407112982958
24,24,0.27240712942095985
15,26,0.2724197898571255
16,26,0.27241074252758446
17,26,0.2724042022351495
18,26,0.2724089711524294
19,26,0.27241077820950804
20,26,0.27241413464058073
21,26,0.27241699144554354
22,26,0.27241782925483554
23,26,0.27241151699240174
24,26,0.27241011495886719
15,28,0.27242696933910471
16,28,0.27241125030353452
17,28,0.27241472838145314
18,28,0.27240794234907867
19,28,0.27240289264237222
20,28,0.2724149108517212
21,28,0.2724105975868058
22,28,0.27240732874650952
23,28,0.27241542475542679
24,28,0.27240937163967616
